Component,Description,Part,References,Value,Footprint,Quantity Per PCB,Datasheet,Vendor,Part Name,digikeypn,Manufacturer,Comments,Field4,Field6,Field5
1,Unpolarized capacitor,C,C_STN_2 C_STN_3,30pF,CAPC1608X90N,2,https://content.kemet.com/datasheets/KEM_C1007_X8R_ULTRA_150C_SMD.pdf,DigiKey Canada,C0603C300J5GACTU,399-9057-1-ND,Kermet,,,,
2,Unpolarized capacitor,C,C_HSCAN_1 C_HSCAN_2,560pF,CAPC1608X90,2,https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X7R_6.3V-to-50V_18.pdf,DigiKey Canada,CC0603KRX7R9BB561,311-1079-1-ND,Yageo,,,,
3,Unpolarized capacitor,C,C_ESP_1 C_ESP_2 C_J1850_1 C_VR1_2 C_VR2_2 C_VS_1,0.1uF,CAPC1608X90,6,https://www.yageo.com/upload/media/product/productsearch/datasheet/mlcc/UPY-GPHC_X7R_6.3V-to-50V_18.pdf,DigiKey Canada,CC0603JRX7R8BB104,311-1777-1-ND,Yageo,,,,
4,Unpolarized capacitor,C,C_IMU_1 C_IMU_2,100nF,CAPC1608X90N,2,https://product.tdk.com/info/en/catalog/datasheets/mlcc_commercial_midvoltage_en.pdf,DigiKey Canada,C1608X7R2A103K080AA,445-1304-1-ND,TDK Corporation,,,,
5,Unpolarized capacitor,C,C_HSCAN_3 C_STN_1 C_STN_4 C_STN_5 C_STN_6 C_VR1_3 C_VR2_3,1uF,0603,7,https://content.kemet.com/datasheets/KEM_C1002_X7R_SMD.pdf,DigiKey Canada,C0603C105K4RACTU,399-7847-1-ND,Kermet,,,,
6,Unpolarized capacitor,C,C_PS_1 C_PS_2 C_PS_3 C_VR1_1 C_VR2_1,4.7uF,C1206C475K3RACAUTO,5,https://api.kemet.com/component-edge/download/specsheet/C1206C475K3RACAUTO.pdf,DigiKey Canada,C1206C475K3RACAUTO,399-7029-1-ND,Kermet,,,,
7,Polarized capacitor,CP,CP_ESP_1,100uF,UCB0J101MCL1GS,1,https://www.nichicon.co.jp/english/products/pdfs/e-ucb.pdf,DigiKey Canada,UCB0J101MCL1GS,493-9357-1-ND,Nichicon,,,,
8,Polarized capacitor,CP,CP_STN_1,10uF,CP_Elec_4x5.8,1,https://industrial.panasonic.com/ww/products/capacitors/aluminum-capacitors/aluminum-cap-smd/models/EEEFP1E100AR,DigiKey Canada,EEEFP1E100AR,PCE4539CT-ND,Panasonic Electronic Components,ESR<1,,,
9,"100V 0.15A Small Signal Schottky Diode, DO-35",BAT46,D_J1850_1 D_J1850_2 D_J1850_3 D_VS_1 D_VS_2,BAT46JFILM,BAT46JFILM,5,https://www.st.com/content/ccc/resource/technical/document/datasheet/c6/32/d4/4a/28/d3/4b/11/CD00004930.pdf/files/CD00004930.pdf/jcr:content/translations/en.CD00004930.pdf,DigiKey Canada,BAT46JFILM,497-6653-1-ND,STMicroelectronics,,,,
10,,MMBZ27VALT3G,D_ESD_4 D_ESD_5,MMBZ27VALT3G,SOT95P237X111-3N,2,https://www.onsemi.com/pub/Collateral/MMBZ5V6ALT1-D.PDF,DigiKey Canada,MMBZ27VALT3G,MMBZ27VALT3GOSCT-ND,ON Semiconductor,,20,ON Semiconductor,IPC-7351B
11,,MMBZ27VCLFHT116,D_ESD_3,MMBZ27VCLFHT116,MMBZ27VCLFHT116,1,http://rohmfs.rohm.com/en/products/databook/datasheet/discrete/diode/zener/mmbz27vclfht116-e.pdf,DigiKey Canada,MMBZ27VCLFHT116,MMBZ27VCLFHT116CT-ND,Rohm Semiconductor,,,,
12,,"PESD2CAN,215",D_ESD_1 D_ESD_2,"PESD2CAN,215",SOT95P230X110-3N,2,https://assets.nexperia.com/documents/data-sheet/PESD2CAN.pdf,DigiKey Canada,"PESD2CAN,215",1727-3891-1-ND,Nexperia USA Inc.,,,,
13,,4157,J_CN_1 J_ESP_1 J_ESP_2,4157,PinSocket_1x20_P2.54mm_Vertical,3,https://media.digikey.com/pdf/Data%20Sheets/Adafruit%20PDFs/4157_Web.pdf,DigiKey Canada,4157,1528-2929-ND,Adafruit Industries LLC,,,,
14,,Header_Pin_2,J_STN_1 J_STN_2 J_STN_4 J_STN_5 J_STN_6,Header_Pin_2,PinHeader_1x02_P2.54mm_Vertical,5,,,,,,,,,
15,,Header_Pin_8,J_ESP_3 J_PS_1,Header_Pin_8,PinHeader_1x08_P2.54mm_Vertical,2,,,,,,,,,
16,Inductor,L,L_VR1 L_VR2,4.7uH,CV201210-4R7K,2,https://www.bourns.com/docs/Product-Datasheets/CV201210.pdf,DigiKey Canada,CV201210-4R7K,CV201210-4R7KCT-ND,Bourns Inc.,,,,
17,Light emitting diode,LED,LED_ESP_1,Bluetooth Status,LED_0603_1608Metric,1,https://www.we-online.de/katalog/datasheet/150060VS75000.pdf,DigiKey Canada,150060VS75000,732-4980-1-ND,Würth Elektronik,,,,
18,Light emitting diode,LED,LED_STN_3,Host Activity,LED_0603_1608Metric,1,https://www.we-online.de/katalog/datasheet/150060VS75000.pdf,DigiKey Canada,150060VS75000,732-4980-1-ND,Würth Elektronik,,,,
